Kanji;Strokes;"On within Joyo";"Kun within Joyo"
行;6;"koo, 	gyoo, [an]";"i(ku), yu(ku), okona(u)"
坑;7;koo;-
孝;7;koo;-
抗;7;koo;-
攻;7;koo;se(meru)
更;7;koo;"sara, fu(keru), fu(kasu)"
効;8;koo;ki(ku)
幸;8;koo;"saiwa(i), sachi, shiawa(se)"
拘;8;koo;-
肯;8;koo;-
侯;9;koo;-
厚;9;koo;atsu(i)
恒;9;koo;-
洪;9;koo;-
皇;9;"koo, 	oo";-
紅;9;"koo, [ku]";"beni, kurenai"
荒;9;koo;"ara(i), a(reru), a(rasu)"
郊;9;koo;-
香;9;"koo, [kyoo]";"ka, kao(ri), kao(ru)"
候;10;koo;sooroo
校;10;koo;-
耕;10;koo;tagaya(su)
航;10;koo;-
貢;10;"koo, [ku]";mitsu(gu)
降;10;koo;"o(riru), o(rosu), fu(ru)"
高;10;koo;"taka(i), taka, taka(maru), taka(meru)"
康;11;koo;-
控;11;koo;hika(eru)
梗;11;koo;-
黄;11;"koo, 	oo";"ki, [ko]"
喉;12;koo;nodo
慌;12;koo;"awa(teru), awa(tadashii)"
港;12;koo;minato
硬;12;koo;kata(i)
絞;12;koo;"shibo(ru), shi(meru), shi(maru)"
項;12;koo;-
溝;13;koo;mizo
鉱;13;koo;-
構;14;koo;"kama(eru), kama(u)"
綱;14;koo;tsuna
酵;14;koo;-
稿;15;koo;-
興;16;"koo, 	kyoo";"oko(ru), oko(su)"
衡;16;koo;-
鋼;16;koo;hagane
講;17;koo;-
購;17;koo;-
乞;3;-;ko(u)
号;5;goo;-
合;6;"goo, gaQ, [kaQ]";"a(u), a(wasu), a(waseru)"
拷;9;goo;-
剛;10;goo;-
傲;13;goo;-
豪;14;goo;-
克;7;koku;-
告;7;koku;tsu(geru)
谷;7;koku;tani
刻;8;koku;kiza(mu)
国;8;koku;kuni
黒;11;koku;"kuro, kuro(i)"
穀;14;koku;-
酷;14;koku;-
獄;14;goku;-
骨;10;kotsu;hone
駒;15;-;koma
込;5;-;"ko(mu), ko(meru)"
頃;11;-;koro
今;4;"kon, 	kin";ima
困;7;kon;koma(ru)
昆;8;kon;-
恨;9;kon;"ura(mu), ura(meshii)"
根;10;kon;ne
婚;11;kon;-
混;11;kon;"ma(jiru), ma(zaru), ma(zeru), ko(mu)"
痕;11;kon;ato
紺;11;kon;-
魂;14;kon;tamashii
墾;16;kon;-
懇;17;kon;nengo(ro)
左;5;sa;hidari
佐;7;sa;-
沙;7;sa;-
査;9;sa;-
砂;9;"sa, 	sha";suna
唆;10;sa;sosonoka(su)
差;10;sa;sa(su)
詐;12;sa;-
鎖;18;sa;kusari
座;10;za;suwa(ru)
挫;10;za;-
才;3;sai;-
再;6;"sai, [sa]";futata(bi)
災;7;sai;wazawa(i)
妻;8;sai;tsuma
采;8;sai;-
砕;9;sai;"kuda(ku), kuda(keru)"
宰;10;sai;-
栽;10;sai;-
彩;11;sai;irodo(ru)
採;11;sai;to(ru)
済;11;sai;"su(mu), su(masu)"
祭;11;sai;"matsu(ru), matsu(ri)"
斎;11;sai;-
細;11;sai;"hoso(i), hoso(ru), koma(ka), koma(kai)"
菜;11;sai;na
最;12;sai;motto(mo)
裁;12;sai;"ta(tsu), saba(ku)"
債;13;sai;-
催;13;sai;moyoo(su)
塞;13;"sai, soku";"fusa(gu), fusa(garu)"
歳;13;"sai, [sei]";-
載;13;sai;"no(seru), no(ru)"
際;14;sai;kiwa
埼;11;-;[sai]
在;6;zai;a(ru)
材;7;zai;-
剤;10;zai;-
財;10;"zai, [sai]";-
罪;13;zai;tsumi
崎;11;-;saki
作;7;"saku, 	sa";tsuku(ru)
削;9;saku;kezu(ru)
昨;9;saku;-
柵;9;saku;-
索;10;saku;-
策;12;saku;-
酢;12;saku;su
搾;13;saku;shibo(ru)
錯;16;saku;-
咲;9;-;sa(ku)
冊;5;"satsu, 	saku";-
札;5;satsu;fuda
刷;8;satsu;su(ru)
刹;8;"satsu, setsu";-
拶;9;satsu;-
殺;10;"satsu, [sai], [setsu]";koro(su)
察;14;satsu;-
撮;15;satsu;to(ru)
擦;17;satsu;"su(ru), su(reru)"
雑;14;"zatsu, 	zoo";-
皿;5;-;sara
三;3;san;"mi, mi(tsu), mit(tsu)"
山;3;san;yama
参;8;san;mai(ru)
桟;10;san;-
蚕;10;san;kaiko
惨;11;"san, 	zan";miji(me)
産;11;san;"u(mu), u(mareru), ubu"
傘;12;san;kasa
散;12;san;"chi(ru), chi(rasu), chi(rakasu), chi(rakaru)"
算;14;san;-
酸;14;san;su(i)
賛;15;san;-
残;10;zan;"noko(ru), noko(su)"
斬;11;zan;ki(ru)
暫;15;zan;-
士;3;shi;-
子;3;"shi, 	su";ko
支;4;shi;sasa(eru)
止;4;shi;"to(maru), to(meru)"
氏;4;shi;uji
仕;5;"shi, [ji]";tsuka(eru)
史;5;shi;-
司;5;shi;-
四;5;shi;"yo, yo(tsu), yot(tsu), yon"
市;5;shi;ichi
矢;5;shi;ya
旨;6;shi;mune
死;6;shi;shi(nu)
糸;6;shi;ito
至;6;shi;ita(ru)
伺;7;shi;ukaga(u)
志;7;shi;"kokoroza(su), kokorozashi"
私;7;shi;"watakushi, watashi"
使;8;shi;tsuka(u)
刺;8;shi;"sa(su), sa(saru)"
始;8;shi;"haji(meru), haji(maru)"
姉;8;shi;ane
枝;8;shi;eda
祉;8;shi;-
肢;8;shi;-
姿;9;shi;sugata
思;9;shi;omo(u)
指;9;shi;"yubi, sa(su)"
施;9;"shi, 	se";hodoko(su)
師;10;shi;-
恣;10;shi;-
紙;10;shi;kami
脂;10;shi;abura
視;11;shi;-
紫;12;shi;murasaki
詞;12;shi;-
歯;12;shi;ha
嗣;13;shi;-
試;13;shi;"kokoro(miru), tame(su)"
詩;13;shi;-
資;13;shi;-
飼;13;shi;ka(u)
誌;14;shi;-
雌;14;shi;"me, mesu"
摯;15;shi;-
賜;15;shi;tamawa(ru)
諮;16;shi;haka(ru)
示;5;"ji, 	shi";shime(su)
字;6;ji;aza
寺;6;ji;tera
次;6;"ji, 	shi";"tsu(gu), tsugi"
耳;6;ji;mimi
自;6;"ji, 	shi";mizuka(ra)
似;7;ji;ni(ru)
児;7;"ji, [ni]";-
事;8;"ji, [zu]";koto
侍;8;ji;samurai
治;8;"chi, 	ji";"osa(meru), osa(maru), nao(ru), nao(su)"
持;9;ji;mo(tsu)
時;10;ji;toki
滋;12;ji;-
慈;13;ji;itsuku(shimu)
辞;13;ji;ya(meru)
磁;14;ji;-
餌;15;ji;"esa, e"
璽;19;ji;-
鹿;11;-;"shika, [ka]"
式;6;shiki;-
識;19;shiki;-
軸;12;jiku;-
七;2;shichi;"nana, nana(tsu), [nano]"
叱;5;shitsu;shika(ru)
失;5;shitsu;ushina(u)
室;9;shitsu;muro
疾;10;shitsu;-
執;11;"shitsu, 	shuu";to(ru)
湿;12;shitsu;"shime(ru), shime(su)"
嫉;13;shitsu;-
漆;14;shitsu;urushi
質;15;"shitsu, shichi, [chi]";-
実;8;jitsu;"mi, mino(ru)"
芝;6;-;shiba
写;5;sha;"utsu(su), utsu(ru)"
社;7;sha;yashiro
車;7;sha;kuruma
舎;8;sha;-
者;8;sha;mono
射;10;sha;i(ru)
捨;11;sha;su(teru)
赦;11;sha;-
斜;11;sha;nana(me)
煮;12;sha;"ni(ru), ni(eru), ni(yasu)"
遮;14;sha;saegi(ru)
謝;17;sha;ayama(ru)
邪;8;ja;-
蛇;11;"ja, 	da";hebi
尺;4;shaku;-
借;10;shaku;ka(riru)
酌;10;shaku;ku(mu)
釈;11;shaku;-
爵;17;shaku;-
若;8;"jaku, [nyaku]";"waka(i), mo(shikuwa)"
弱;10;jaku;"yowa(i), yowa(ru), yowa(maru), yowa(meru)"
寂;11;"jaku, [seki]";"sabi, sabi(shii), sabi(reru)"
手;4;shu;"te, [ta]"
主;5;"shu, [su]";"nushi, omo"
守;6;"shu, [su]";"mamo(ru), mo(ri)"
朱;6;shu;-
取;8;shu;to(ru)
狩;9;shu;"ka(ru), ka(ri)"
首;9;shu;kubi
殊;10;shu;koto
珠;10;shu;-
酒;10;shu;"sake, [saka]"
腫;13;shu;"ha(reru), ha(rasu)"
種;14;shu;tane
趣;15;shu;omomuki
寿;7;ju;kotobuki
受;8;ju;"u(keru), u(karu)"
呪;8;ju;noro(u)
授;11;ju;"sazu(keru), sazu(karu)"
需;14;ju;-
儒;16;ju;-
樹;16;ju;-
収;4;shuu;"osa(meru), osa(maru)"
囚;5;shuu;-
州;6;shuu;su
舟;6;shuu;"fune, [funa]"
秀;7;shuu;hii(deru)
周;8;shuu;mawa(ri)
宗;8;"shuu, 	soo";-
拾;9;"shuu, 	juu";hiro(u)
秋;9;shuu;aki
臭;9;shuu;"kusa(i), nio(u)"
修;10;"shuu, [shu]";"osa(meru), osa(maru)"
袖;10;shuu;sode
終;11;shuu;"o(waru), o(eru)"
羞;11;shuu;-
習;11;shuu;nara(u)
週;11;shuu;-
就;12;"shuu, [ju]";"tsu(ku), tsu(keru)"
衆;12;"shuu, [shu]";-
集;12;shuu;"atsu(maru), atsu(meru), tsudo(u)"
愁;13;shuu;"ure(eru), ure(i)"
酬;13;shuu;-
醜;17;shuu;miniku(i)
蹴;19;shuu;ke(ru)
襲;22;shuu;oso(u)
十;2;"juu, 	jiQ";"too, to"
汁;5;juu;shiru
充;6;juu;a(teru)
住;7;juu;"su(mu), su(mau)"
柔;9;"juu, 	nyuu";"yawa(raka), yawa(rakai)"
重;9;"juu, 	choo";"e, omo(i), kasa(neru), kasa(naru)"
従;10;"juu, [shoo], [ju]";"shitaga(u), shitaga(eru)"
渋;11;juu;"shibu, shibu(i), shibu(ru)"
銃;14;juu;-
獣;16;juu;kemono
縦;16;juu;tate
叔;8;shuku;-
祝;9;"shuku, [shuu]";iwa(u)
宿;11;shuku;"yado, yado(ru), yado(su)"
淑;11;shuku;-
粛;11;shuku;-
縮;17;shuku;"chiji(mu), chiji(maru), chiji(meru), chiji(reru), chiji(rasu)"
塾;14;juku;-
熟;15;juku;u(reru)
出;5;"shutsu, [sui]";"de(ru), da(su)"
述;8;jutsu;no(beru)
術;11;jutsu;-
俊;9;shun;-
春;9;shun;haru
瞬;18;shun;matata(ku)
旬;6;"jun, [shun]";-
巡;6;jun;megu(ru)
盾;9;jun;tate
准;10;jun;-
殉;10;jun;-
純;10;jun;-
循;12;jun;-
順;12;jun;-
準;13;jun;-
潤;15;jun;"uruo(u), uruo(su), uru(mu)"
遵;15;jun;-
処;5;sho;-
初;7;sho;"haji(me), haji(mete), hatsu, ui, so(meru)"
所;8;sho;tokoro
書;10;sho;ka(ku)
庶;11;sho;-
